node_id,a_i,l_i,a_h
497373,9.8727,0.162,0.012515
474259,1.9068,0.42,0.23834
475632,5.7573,0.353,0.18816
488539,0.46347,1.038,0.46347
491545,0.22539,0.611,0.22539
490166,1.5779,2.715,1.5779
491782,2.9924,0.325,0.23786
472839,6.8128,0.162,0.012547
471354,19.9164,0.456,0.17575
467136,0.86633,0.456,0.36411
495221,4.8679,0.325,0.075097
491780,1.8531,0.394,0.26293
470015,0.32635,0.65,0.32635
475631,3.6623,0.618,0.26341
470913,0.71541,1.56,0.71541
479497,1.0531,0.912,0.43883
474532,0.18817,0.812,0.18817
494808,13.3923,1.821,1.4894
494809,14.7942,1.257,1.2517
494810,15.5076,0.829,0.52571
471360,31.8829,0.162,0.025116
478881,1.3166,0.618,0.22569
466136,10.3598,0.583,0.25116
494812,21.3157,0.258,0.0751
480275,5.2273,1.194,1.1534
477983,0.40128,0.688,0.40128
487588,0.21296,0.84,0.21296
497372,9.2971,0.487,0.21275
501592,44.6607,0.971,0.5506
484496,1.1279,0.258,0.037593
495766,0.41302,0.719,0.41302
468167,0.37662,0.912,0.37662
473415,1.1041,2.591,1.1041
484045,1.0777,0.162,0.062665
472840,7.8543,0.131,0.025095
367719,15803.6,1.015,0.53519
295939,1.4319,0.358,0.0767
293859,0.97184,0.292,0.11509
367723,15811.2,0.195,0.12756
293303,15.2027,0.389,0.24291
298375,1.0225,0.131,0.051128
401032,0.36682,0.548,0.36682
410647,1.4532,0.326,0.12635
401473,1.0372,0.489,0.2656
422323,139.256,0.192,0.088455
399919,0.78432,0.452,0.21505
412273,0.2274,0.457,0.2274
367090,0.165,0.457,0.165
364702,0.13965,0.356,0.13965
395000,29.9198,0.326,0.075949
397992,1.3032,0.578,0.34162
370430,0.48221,1.11,0.48221
412134,14.742,0.577,0.27794
388071,0.78527,0.585,0.15199
387102,12.1868,0.615,0.2914
383288,0.58296,0.971,0.58296
387103,12.8455,0.386,0.27872
444513,9.3302,0.68,0.39031
421034,345.177,0.457,0.24
421033,343.371,1.034,0.85884
418620,0.9469,0.163,0.025249
424278,0.16401,0.355,0.16401
428003,15.5643,0.614,0.29013
432785,3.8818,0.613,0.35292
435035,91.4635,1.733,1.2748
438775,1.1338,0.425,0.11337
465186,1184.46,0.421,0.16342
465183,1179.33,0.163,0.025182
465178,1085.85,1.474,1.2196
445225,0.37765,0.619,0.37765
446602,0.22656,0.456,0.22656
460653,6.4845,0.163,0.025142
452666,1.4463,2.117,1.4463
