node_id,q,h0,h1,h2,h3,h4
489025,0.001,0.0,0.1,0.0,0.0,0.0
489208,0.001,0.0,0.1,0.0,0.0,0.0
489024,0.001,0.0,0.1,0.0,0.0,0.0
497538,0.001,0.0,0.1,0.0,0.0,0.0
491400,0.001,0.0,0.1,0.0,0.0,0.0
465637,0.001,0.0,0.1,0.0,0.0,0.0
471356,0.001,0.0,0.1,0.0,0.0,0.0
469346,0.001,0.0,0.1,0.0,0.0,0.0
482404,0.001,0.0,0.1,0.0,0.0,0.0
472677,0.001,0.0,0.1,0.0,0.0,0.0
471355,0.001,0.0,0.1,0.0,0.0,0.0
466140,0.001,0.0,0.1,0.0,0.0,0.0
466139,0.001,0.0,0.1,0.0,0.0,0.0
480280,0.001,0.0,0.1,0.0,0.0,0.0
466142,0.001,0.0,0.1,0.0,0.0,0.0
480278,0.001,0.0,0.1,0.0,0.0,0.0
463254,0.001,0.0,0.1,0.0,0.0,0.0
501590,0.001,0.0,0.1,0.0,0.0,0.0
466143,0.001,0.0,0.1,0.0,0.0,0.0
480279,0.001,0.0,0.1,0.0,0.0,0.0
467762,0.001,0.0,0.1,0.0,0.0,0.0
499041,0.001,0.0,0.1,0.0,0.0,0.0
499602,0.001,0.0,0.1,0.0,0.0,0.0
469215,0.001,0.0,0.1,0.0,0.0,0.0
494013,0.001,0.0,0.1,0.0,0.0,0.0
499601,0.001,0.0,0.1,0.0,0.0,0.0
469351,0.001,0.0,0.1,0.0,0.0,0.0
494282,0.001,0.0,0.1,0.0,0.0,0.0
468007,0.001,0.0,0.1,0.0,0.0,0.0
360116,0.001,0.0,0.1,0.0,0.0,0.0
477752,0.001,0.0,0.1,0.0,0.0,0.0
500096,0.001,0.0,0.1,0.0,0.0,0.0
487624,0.001,0.0,0.1,0.0,0.0,0.0
487622,0.001,0.0,0.1,0.0,0.0,0.0
494833,0.001,0.0,0.1,0.0,0.0,0.0
487615,0.001,0.0,0.1,0.0,0.0,0.0
487599,0.001,0.0,0.1,0.0,0.0,0.0
480912,0.001,0.0,0.1,0.0,0.0,0.0
487598,0.001,0.0,0.1,0.0,0.0,0.0
483492,0.001,0.0,0.1,0.0,0.0,0.0
470768,0.001,0.0,0.1,0.0,0.0,0.0
498508,0.001,0.0,0.1,0.0,0.0,0.0
469747,0.001,0.0,0.1,0.0,0.0,0.0
475342,0.001,0.0,0.1,0.0,0.0,0.0
475343,0.001,0.0,0.1,0.0,0.0,0.0
487596,0.001,0.0,0.1,0.0,0.0,0.0
486286,0.001,0.0,0.1,0.0,0.0,0.0
477102,0.001,0.0,0.1,0.0,0.0,0.0
487621,0.001,0.0,0.1,0.0,0.0,0.0
475344,0.001,0.0,0.1,0.0,0.0,0.0
487619,0.001,0.0,0.1,0.0,0.0,0.0
497225,0.001,0.0,0.1,0.0,0.0,0.0
495228,0.001,0.0,0.1,0.0,0.0,0.0
470764,0.001,0.0,0.1,0.0,0.0,0.0
