node_id,a_i,l_i,a_h
0,19287.0,115.8,19287.0
1,125719.0,355.3,85003.0
2,194292.0,30.9,2143.0
3,225721.0,30.9,1429.0
4,285006.0,69.5,5714.0
5,356432.0,193.0,45713.0
6,21429.0,107.9,21429.0
7,66431.0,324.3,66431.0
8,43573.0,177.6,43573.0
9,46429.0,316.9,46429.0
10,17143.0,107.9,17143.0
11,42858.0,169.8,42858.0
12,87859.0,208.6,27143.0
13,197858.0,77.2,15714.0
14,255713.0,185.3,30713.0
15,30000.0,254.7,30000.0
16,53571.0,308.5,53571.0
17,22857.0,115.5,22857.0
18,86429.0,177.5,20714.0
19,189999.0,255.0,57141.0
20,213569.0,61.8,4285.0
21,317850.0,154.6,27855.0
22,57142.0,378.5,57142.0
23,94285.0,385.4,94285.0
24,25000.0,170.0,25000.0
25,43570.0,347.4,43570.0
26,25714.0,169.6,25714.0
27,27142.0,231.3,27142.0
28,27856.0,216.2,27856.0
29,18571.0,107.9,18571.0
30,76425.0,393.3,76425.0
31,18571.0,154.4,18571.0
32,67854.0,332.2,67854.0
33,25713.0,146.7,25713.0
34,57141.0,115.8,13571.0
35,119997.0,69.5,5714.0
36,162852.0,177.6,14999.0
37,649287.0,216.5,37141.0
38,710711.0,139.0,14999.0
39,41426.0,208.6,41426.0
40,22142.0,170.0,22142.0
41,19285.0,138.9,19285.0
42,17856.0,107.9,17856.0
43,74281.0,447.7,74281.0
44,21428.0,108.1,21428.0
45,27141.0,216.2,27141.0
46,38569.0,262.5,38569.0
47,22856.0,246.8,22856.0
48,105709.0,316.4,69282.0
49,37855.0,231.3,37855.0
50,14285.0,100.3,14285.0
51,94994.0,84.8,10714.0
52,142849.0,192.7,22142.0
53,169276.0,46.2,3571.0
54,223559.0,84.8,10714.0
55,257129.0,115.8,11428.0
56,24284.0,293.4,24284.0
57,162128.0,764.5,126416.0
58,23570.0,107.9,23570.0
59,23570.0,92.4,23570.0
60,102136.0,223.7,37140.0
61,183558.0,200.3,54281.0
62,304262.0,308.2,82136.0
63,19284.0,231.6,19284.0
64,28569.0,100.3,28569.0
65,46425.0,115.8,46425.0
66,22855.0,146.5,22855.0
67,18570.0,146.7,18570.0
68,117132.0,679.4,117132.0
69,34283.0,162.3,34283.0
70,97852.0,38.6,1428.0
71,157132.0,169.6,30711.0
72,222126.0,154.1,46424.0
73,264979.0,131.0,28569.0
74,432123.0,139.0,12142.0
75,550685.0,216.2,44281.0
76,902072.0,138.9,27853.0
77,933497.0,108.1,7856.0
78,987061.0,38.6,17854.0
79,1171328.0,185.1,22139.0
80,1213464.0,146.5,19997.0
81,1244888.0,92.4,17140.0
82,1333444.0,123.4,35709.0
83,1561989.0,208.2,42136.0
84,1655544.0,223.7,57847.0
85,2014780.0,177.6,34993.0
86,2217593.0,138.9,22852.0
87,2376126.0,339.4,81410.0
88,2493953.0,347.3,54986.0
89,647824.0,115.8,25712.0
90,712104.0,115.8,20712.0
91,759242.0,254.8,29282.0
92,437110.0,331.6,66422.0
93,47853.0,231.3,47853.0
94,1212099.0,332.0,64279.0
95,1362793.0,115.8,25711.0
96,2389139.0,363.2,69988.0
97,2559109.0,61.8,7856.0
98,2629096.0,100.4,7855.0
99,2713363.0,262.5,43561.0
100,33568.0,185.3,33568.0
101,17855.0,154.4,17855.0
102,28569.0,146.5,28569.0
103,33568.0,146.7,33568.0
104,19998.0,139.0,19998.0
105,27854.0,262.5,27854.0
106,49281.0,224.1,49281.0
107,29283.0,254.8,29283.0
108,23569.0,362.8,23569.0
109,117846.0,262.5,35711.0
110,52137.0,247.1,52137.0
111,23569.0,208.6,23569.0
112,37139.0,200.9,37139.0
113,49994.0,347.1,49994.0
114,14284.0,146.7,14284.0
115,69277.0,378.3,69277.0
116,22140.0,193.0,22140.0
117,19998.0,170.0,19998.0
118,99989.0,370.4,99989.0
119,124271.0,409.0,72134.0
120,262821.0,200.6,44278.0
121,391372.0,262.5,84271.0
122,442076.0,100.4,12140.0
123,504205.0,316.7,47132.0
124,18569.0,92.4,18569.0
125,57852.0,77.2,4285.0
126,154982.0,339.2,64992.0
127,202834.0,92.4,18569.0
128,261398.0,185.1,34995.0
129,307822.0,46.2,18569.0
130,61421.0,432.7,61421.0
131,38567.0,223.9,38567.0
132,57136.0,293.0,57136.0
133,22140.0,185.1,22140.0
134,46423.0,239.1,46423.0
135,20712.0,100.4,20712.0
136,126410.0,641.2,126410.0
137,12141.0,115.8,12141.0
138,32139.0,138.6,32139.0
139,71419.0,401.4,71419.0
140,35710.0,200.6,35710.0
141,73564.0,38.6,2143.0
142,154982.0,208.6,34995.0
143,195690.0,69.5,7142.0
144,273534.0,262.7,42850.0
145,17855.0,69.3,17855.0
146,74276.0,231.6,35709.0
147,197117.0,285.4,46422.0
148,45708.0,192.7,45708.0
149,35710.0,177.6,35710.0
150,96418.0,38.6,2143.0
151,126414.0,38.6,2143.0
152,170694.0,69.5,5713.0
153,252110.0,239.2,42850.0
154,324243.0,108.1,10712.0
155,36424.0,193.2,36424.0
156,339245.0,92.4,16426.0
157,379954.0,69.3,18569.0
158,434232.0,185.1,34281.0
159,553504.0,139.0,19283.0
